time_stamp,pm2.5_alt,station,pm2.5_atm,pm2.5_cf_1
2022-04-06 00:00:00+00:00,0.7,100155,0.5455,0.5455
2022-04-06 01:00:00+00:00,6.6,100155,10.829,11.215
2022-04-06 02:00:00+00:00,3.8,100155,5.8815,5.8815
2022-04-06 03:00:00+00:00,0.5,100155,0.2115,0.2115
2022-04-06 04:00:00+00:00,7.6,100155,13.1565,14.8065
2022-04-06 05:00:00+00:00,9.1,100155,17.691,17.9925
2022-04-06 06:00:00+00:00,5.4,100155,9.9385,9.9385
2022-04-06 07:00:00+00:00,6.6,100155,12.6375,12.6375
2022-04-06 08:00:00+00:00,4.7,100155,8.775500000000001,8.775500000000001
2022-04-06 09:00:00+00:00,5.4,100155,10.464,10.464
2022-04-06 10:00:00+00:00,1.5,100155,1.8745,1.8745
2022-04-06 11:00:00+00:00,1.4,100155,1.659,1.659
2022-04-06 12:00:00+00:00,7.0,100155,14.0595,14.06
2022-04-06 13:00:00+00:00,13.4,100155,28.6145,29.7455
2022-04-06 14:00:00+00:00,11.6,100155,24.1875,24.886
2022-04-06 15:00:00+00:00,6.0,100155,11.3845,11.3845
2022-04-06 16:00:00+00:00,2.9,100155,4.4295,4.4295
2022-04-06 17:00:00+00:00,1.0,100155,1.0154999999999998,1.0154999999999998
2022-04-06 18:00:00+00:00,0.6,100155,0.4619999999999999,0.4619999999999999
2022-04-06 19:00:00+00:00,0.5,100155,0.2065,0.2065
2022-04-06 20:00:00+00:00,0.5,100155,0.2724999999999999,0.2724999999999999
2022-04-06 21:00:00+00:00,0.4,100155,0.1155,0.1155
2022-04-06 22:00:00+00:00,0.5,100155,0.1425,0.1425
2022-04-06 23:00:00+00:00,0.8,100155,0.619,0.619
2022-04-07 00:00:00+00:00,0.7,100155,0.482,0.482
2022-04-07 01:00:00+00:00,2.1,100155,2.7715,2.7715
2022-04-07 02:00:00+00:00,7.3,100155,12.8365,12.8365
2022-04-07 03:00:00+00:00,12.9,100155,25.0775,25.2535
2022-04-07 04:00:00+00:00,30.2,100155,50.572,64.491
2022-04-07 05:00:00+00:00,19.9,100155,36.0895,42.6815
2022-04-07 06:00:00+00:00,10.5,100155,20.2815,22.237
2022-04-07 07:00:00+00:00,7.6,100155,14.6305,14.784
2022-04-07 08:00:00+00:00,4.3,100155,7.551,7.551
2022-04-07 09:00:00+00:00,3.4,100155,5.6635,5.6635
2022-04-07 10:00:00+00:00,5.8,100155,11.156,11.156
2022-04-07 11:00:00+00:00,6.6,100155,12.81,12.82
2022-04-07 12:00:00+00:00,5.9,100155,11.223,11.223
2022-04-07 13:00:00+00:00,5.6,100155,10.6575,10.6575
2022-04-07 14:00:00+00:00,4.2,100155,7.3735,7.3735
2022-04-07 15:00:00+00:00,3.3,100155,5.3865,5.3865
2022-04-07 16:00:00+00:00,2.0,100155,2.793,2.793
2022-04-07 17:00:00+00:00,1.6,100155,2.034,2.034
2022-04-07 18:00:00+00:00,1.5,100155,1.9125,1.9125
2022-04-07 19:00:00+00:00,1.1,100155,1.0990000000000002,1.0990000000000002
2022-04-07 20:00:00+00:00,1.3,100155,1.4705,1.4705
2022-04-07 21:00:00+00:00,1.2,100155,1.344,1.344
2022-04-07 22:00:00+00:00,1.1,100155,1.065,1.065
2022-04-07 23:00:00+00:00,1.1,100155,1.0815,1.0815
2022-04-08 00:00:00+00:00,1.3,100155,1.387,1.387
2022-04-08 01:00:00+00:00,3.6,100155,5.2905,5.2905
2022-04-08 02:00:00+00:00,6.7,100155,10.9135,10.965
2022-04-08 03:00:00+00:00,7.8,100155,13.283,13.6125
2022-04-08 04:00:00+00:00,9.5,100155,16.822499999999998,17.586
